質問,回答,
この装置はなんでも処理できますか？,有機物（木材、ビニール、生ごみ、汚泥、畳、医療廃棄物、食品残渣（水分含有量70%程度））は基本的に処理可能です。無機物は熱分解されませんので、処理ができません。また、特別な処理が必要な廃棄物（放射線物質、塩素系やフッ素系を含む物質、薬品など）は絶対に投入しないでください。法律違反になる可能性があります。,
廃プラを投入すると黒煙がでますか？,いいえ、煙が排出される場合は白煙が排出されます。基本的には排ガス処理炉でガスは自燃し、排気は無色透明のガスとして排出されます。,
排ガス処理炉の断熱材は何度まで耐えられますか？,約1200℃まで耐えることが可能です。装置に使用しているヒーターは最高1200℃まで上昇可能ですが、それ以下の温度帯で稼働していますので、1200℃を超えることはありませんのでご安心ください。,
セラミックボールが廃棄物の上に上がってきてしまうことはないのですか？,ありません。これはセラミックボールの比重が重いためです。,
熱分解が始まったタイミングはどうすればわかりますか？,内部の様子を直接確認することはできませんが、制御盤に表示される温度の変化から、熱分解の開始をある程度推測することが可能です。一般的には、熱分解層熱源温度が100℃を超えないうちは、熱分解は始まっていません。温度が上昇し、一定の閾値を超えると、反応が始まる兆候と考えられます。ただし、投入する物質によって熱分解の開始温度や反応の進み方は変化しますので、あくまで参考値としてご判断ください。,
完全に投入したものがセラミックス化にはどのくらいかかりますか？,約3週間～4週間程度です。,
CO₂は排出されますか？,"はい、CO₂は排出されます。
ただし、この装置は焼却装置のように外部の燃料を使って燃やすわけではなく、投入物自体が持つ酸素によって熱分解反応が進む方式です。
そのため、排出されるCO₂は、主に投入物に含まれる成分由来のものに限られ、焼却と比べてCO₂排出量は約20%程度に抑えられます。",
イオン発生器は消耗品ですか？,"イオン発生器はおおよそ2〜3年に1度の交換を推奨しています。
定期点検時には、イオン発生器の状態もあわせて確認し、必要に応じて交換を行います。",
熱分解装置本体が熱くなることはありますか？,"はい、熱分解が始まると装置内部の温度が上昇し、本体表面も熱を帯びます。
イメージとしては、夏場の車のボンネットに触れたときのような熱さとお考えください。
また、排ガス処理炉はさらに高温になるため、近くに物を置いたり、むやみに接近したりしないよう十分ご注意ください。",
排ガス処理炉は近づくと危険ですか？,"はい、排ガス処理炉は600℃〜900℃の高温で稼働しており、むやみに近づくと非常に危険です。
安全対策として、炉本体には1,200℃に耐える断熱材を巻いており、防護柵の設置も行っています。
それでも、点検や作業の際には十分な注意が必要です。",
イオン発生器とは何ですか？,"イオン発生器とは、空気中にイオンを発生させる装置です。
本装置では、1秒間に約12万5,000個のイオンを発生させることができ、装置の効率的な稼働に重要な役割を担っています。",
イオン発生器が故障した場合どうしたらいいですか？,"イオン発生器が故障すると、本体のLEDランプが消灯し、異常を知らせます。
故障が確認された場合は、販売元へご連絡のうえ、交換の手配をお願いいたします。※なお、イオン発生器は装置内部に取り付けられているため、使用者が勝手に取り外すのは危険です。絶対におやめください。",
廃棄物を投入する際煙が外に出ないのですか？,"廃棄物投入時に煙が外へ漏れないよう、装置には二重ダンパー構造を採用しています。
ただし、連続して投入を行うと、ダンパーの上部に煙が滞留し、投入口を開けた際に一時的に煙が排出されることがあります。
このため、投入のタイミングには注意し、必要に応じて間隔を空けるなどの対応をお願いいたします。",
投入口とダンパーの間に溜まった煙はどうなりますか？,投入口を開けていなければ、煙はダンパーと投入口の間に閉じ込められます。その後、煙は徐々に炉内に引き込まれて流れていきます。,
内部の残渣物の排出はどうすればいいですか？,"内部の残渣物は自動的に排出されるため、特別な操作は基本的に必要ありません（ただし、自動運転時に限ります）。
初期設定では、投入動作（投入口およびダンパーの開閉）を30回カウントすると、自動でセラミック取出モーターが作動し、内部の残渣物を排出します。
もし手動で排出したい場合は、制御盤から自動運転モードを手動運転モードに切り替えることで、手動操作が可能になります。",
排出されたセラミック残渣物はどうすればいいですか？,"排出されたセラミック残渣は、通常の産業廃棄物として処理していただいて問題ありません。
また、セラミックは土壌改良材や建材など、さまざまな用途での活用が可能であるため、現在アップサイクルの方法についても検討を進めています。",
排ガスはどのように処理されているのですか？,"この装置では、排ガス中に含まれる一酸化炭素（CO）などの可燃性ガスを処理するために、バーナーを使用せず、電熱ヒーターで600℃以上の高温環境を作り出し、ガスを自燃させて処理しています。
一酸化炭素は、約606℃以上になると酸素と反応して自然に燃焼（自己着火）し、二酸化炭素（CO₂）になります。この装置では、その性質を利用して、強制燃焼ではなくヒーター加熱による安定した熱分解処理を行っています。",
熱分解装置の中はどのような構造になっていますか？,"本装置の熱分解炉は、直径1,850mm・高さ1,500mm（外寸高さ2,895mm）の円筒形構造で、加熱・攪拌・分離を効率よく行えるシンプルな設計です。炉の外周には12か所のイオン導入口と6か所の電熱ヒーターが均等に配置され、ヒーターはセラミック製で炉内に向けて棒状に設置されており、効率的な加熱を実現します。内部温度は4か所のセンサーで常時監視されます。底部には板状の攪拌パドルがあり、処理物を均一にかき混ぜることで加熱ムラを防ぎます。さらに、その下には熱の保持と分散を助ける直径13～19mmのセラミックボールが敷かれ、最下部はメッシュ構造で、処理後の細かな残渣が自然に分離・回収されるようになっています。",
熱分解層の電熱ヒーターの周囲に遮熱材や断熱材は配置されていますか？,いいえ、熱分解層に設置したヒーターに遮熱材や断熱材は装備していません。,
冷却装置や燃焼処理ユニットは搭載されていますか？,いいえ、本装置は熱分解炉と排ガス分解炉のみのシンプルな設計となっています。乾燥機、冷却装置、燃焼処理ユニットなどはありません。,
プラスチックは投入してもいいですか？,はい、プラスチックは有機物のため処理が可能です。,
この装置は燃料を利用しますか？,いいえ、一切使用しません。この装置は単相200Vの電源のみです。,
